,spp,redlistCategory,LatinName,Family1,Order1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
178,Malaysian Eared-Nightjar,Least Concern,Lyncornis temminckii,Caprimulgidae,Caprimulgiformes,21.1,8.2,5.1,3.7,10.7,205.2,106.8,99.2,51.8,124,95.9,NA,Forest,2,1,Carnivore,Invertivore,Aerial,-5.95,7.36,0.79,108.53,1296744.78
179,Malaysian Hawk-Cuckoo,Least Concern,Hierococcyx fugax,Cuculidae,Cuculiformes,28.3,18.5,8.3,8.7,19,175.2,52.2,121.8,30,137.4,79.7,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.43,10.8,0.93,108.22,1412734.29
180,Maroon-breasted Philentoma,Near Threatened,Philentoma velata,Vangidae,Passeriformes,16.3,11.2,6.9,5.2,18.7,98.4,10.7,87.7,10.9,80.8,26.1,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.85,14.42,1.05,108.1,1151168.58
181,Moustached Hawk-Cuckoo,Near Threatened,Hierococcyx vagans,Cuculidae,Cuculiformes,26.1,17,7.3,6.8,17.8,147.2,39.3,106.7,27,133.4,57.7,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,15.42,2.23,107.54,976640.03
182,Olive-backed Sunbird,Least Concern,Cinnyris jugularis,Nectariniidae,Passeriformes,20.7,14.9,3.3,2.5,14.5,53.4,8.8,40.5,17.7,35.2,9,NA,Shrubland,2,1,Omnivore,Omnivore,Insessorial,-24.85,25.24,7.4,112.54,5063701.81
183,Oriental Honey-Buzzard,Least Concern,Pernis ptilorhynchus,Accipitridae,Accipitriformes,55.9,21.4,13.1,15.4,49,413.6,130.7,278.6,32,263.8,1141.1,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-10.58,56.97,32.05,103.73,11263289.52
184,Pale Blue-Flycatcher,Least Concern,Cyornis unicolor,Muscicapidae,Passeriformes,15.1,9.7,5.1,3.9,15.9,77.6,14.9,62.3,19.4,62.3,21,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.58,29.15,16.34,103.27,2073999.9
185,Plain-throated Sunbird,Least Concern,Anthreptes malacensis,Nectariniidae,Passeriformes,20.3,14.6,3.7,3.3,16.4,67.1,11.8,52.5,18.3,39.6,11.3,NA,Woodland,2,1,Omnivore,Invertivore,Insessorial,-10.32,21.14,3.2,108.96,2166604.35
186,Purple-throated Sunbird,Least Concern,Leptocoma sperata,Nectariniidae,Passeriformes,15.3,12.4,3.1,2.7,12.3,48.4,10.3,37.5,21.4,26.6,6.4,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,2.12,19.57,12.92,122.57,229948.47
187,Red-throated Sunbird,Near Threatened,Anthreptes rhodolaemus,Nectariniidae,Passeriformes,18.2,14.1,3.9,3.6,15.4,65.2,14.4,51.6,21.8,43,13.1,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,-6.17,13.57,3.47,104.39,434795.42
188,Red jungle Fowl,Least Concern,Gallus gallus,Phasianidae,Galliformes,30.9,15.4,8.9,8.9,68.1,218.2,48.9,167.6,22.5,194,751.7,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-10.94,31.61,16.29,100.19,5096258.34
189,Red Jungle Fowl,Least Concern,Gallus gallus,Phasianidae,Galliformes,30.9,15.4,8.9,8.9,68.1,218.2,48.9,167.6,22.5,194,751.7,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-10.94,31.61,16.29,100.19,5096258.34
190,Rhinocerous Hornbill,Vulnerable,Buceros rhinoceros,Bucerotidae,Bucerotiformes,245.4,215.3,53.6,108.4,70.5,458.5,97.2,353.5,21.7,365.6,2371.6,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.78,7.55,0.14,108.73,1455791.75
191,Ruby-cheeked Sunbird,Least Concern,Chalcoparia singalensis,Nectariniidae,Passeriformes,15,10.9,3.2,3.4,16.1,51.9,6.7,45.1,12.8,42.8,8.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,27.76,10.61,103.65,2829894.28
192,Rufous-fronted Babbler,Least Concern,Cyanoderma rufifrons,Timaliidae,Passeriformes,14.1,8,2.9,3.3,16.5,51.7,6.7,45.3,12.8,44.3,10.6,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,29.23,14.14,100.68,2386114.61
193,Rufous-tailed Shama,,Trichixos pyrropygus,Muscicapidae,Passeriformes,23.7,16.1,6.2,7.3,28.1,98.2,13.8,82.2,14.3,83.6,40.9,NA,Forest,1,1,Carnivore,Invertivore,Generalist,-6.17,7.1,0.86,108.54,1050012.65
194,Rufous-winged Philentoma,Least Concern,Philentoma pyrhoptera,Vangidae,Passeriformes,17.8,11.8,6,4.5,17.7,81.1,7.5,73.4,9.3,66,16.9,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-6.67,11.46,1.01,108.34,1224085.41
195,Scaly breasted Munia,Least Concern,Lonchura punctulata,Estrildidae,Passeriformes,11.8,8.8,6.7,7.5,14,52.6,11.9,42.4,22,39,13.6,NA,Grassland,2,1,Herbivore,Granivore,Generalist,-10.94,35.69,18.7,96.89,7189322.58
196,Thick-billed Green-Pigeon,Least Concern,Treron curvirostra,Columbidae,Columbiformes,19.4,11.9,5.9,7.4,19.9,135.9,47.5,88.6,34.9,73.9,134.5,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-7.02,28.55,13.64,102.06,3273169.54
197,Verditer,Least Concern,Eumyias thalassinus,Muscicapidae,Passeriformes,12,7.6,5,3.3,13.8,76.2,15.7,59.5,20.9,61,18.1,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,34.91,17.79,104.13,4490414.63
198,White-bellied Yuhina,Least Concern,Erpornis zantholeuca,Vireonidae,Passeriformes,15.4,8.4,3.9,4.2,16.7,66.4,11.3,54.8,17.1,44,11.8,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,-4.19,29.88,17.04,104.89,3629429.65
199,Yellow-bellied Bulbul,Least Concern,Alophoixus phaeocephalus,Pycnonotidae,Passeriformes,20.5,13.6,5.4,6.5,19.9,94.4,13.2,82.4,13.8,80.6,32,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.95,10.59,0.86,108.44,1368840.15
200,Yellow-bellied Warbler,Least Concern,Abroscopus superciliaris,Scotocercidae,Passeriformes,12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,12.7,42.4,6.5,NA,Shrubland,1,1,Carnivore,Invertivore,Insessorial,-8.11,28.81,9.89,105.2,2493437.47
201,Black-headed Bulbul,Least Concern,Brachypodius atriceps,Pycnonotidae,Passeriformes,15.7,10,4.4,4.7,14.8,78.6,14.1,63.6,18.1,67.2,25.5,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.85,28.88,10.81,103.57,2968877.33
202,Black-throated Wren-Babbler,Near Threatened,Turdinus atrigularis,Pellorneidae,Passeriformes,23.9,14.5,5,6,32.9,99.8,8.1,89.8,8.2,69.2,66.3,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-1.56,6.05,4.01,115.91,77387.71
203,Blue-headed Pitta,Vulnerable,Hydrornis baudii,Pittidae,Passeriformes,25.5,14.2,5.3,7.4,38,89.4,14.6,75.6,16.2,37.4,66,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-4.19,7.04,0.56,114.11,604986.6
204,Buff-vented Bulbul,Near Threatened,Iole charlottae,Pycnonotidae,Passeriformes,20.6,13.2,5.3,5.4,18.5,87.3,15.6,72,17.9,72,24,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-6.17,13.52,1.15,108.13,1131173.67
205,Chestnut-capped Thrush,Endangered,Geokichla interpres,Turdidae,Passeriformes,18.8,12.1,5.2,5.4,27.2,102.1,27.7,75,26.9,52.9,81.9,NA,Forest,2,1,Carnivore,Invertivore,Generalist,-9.11,9,-0.47,112.64,674548.8
206,Chestnut-necklaced Partridge,,Arborophila charltonii,Phasianidae,Galliformes,22.3,12.2,5.4,6.5,39.2,158.6,40.6,118.1,25.6,61.2,269.3,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-5.21,11.67,5.4,100.76,111853.87
207,Chestnut-winged Babbler,Least Concern,Cyanoderma erythropterum,Timaliidae,Passeriformes,16,9.8,3.4,4,21.1,59.7,5.6,53.8,9.4,48.2,12.6,Cyanoderma bicolor,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,11.39,1.19,101.5,593405.28
208,Giant Pitta,Near Threatened,Hydrornis caeruleus,Pittidae,Passeriformes,40.1,24.9,10.3,13.3,52.7,145,16.7,129.1,11.4,54.6,202,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-5.72,14.06,4.58,110.18,357016.42
209,Grey-bellied Bulbul,Near Threatened,Ixidia cyaniventris,Pycnonotidae,Passeriformes,14.6,8.6,3.9,3.9,14.2,75.6,13.4,62.8,17.5,58.6,22,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.95,14.54,1.51,108.49,926808.78
210,Long-tailed Parakeet,Vulnerable,Belocercus longicaudus,Psittacidae,Psittaciformes,26.7,21,12.9,22.7,15.7,146.8,67.3,75.7,47.1,192.6,107,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-6.12,14.92,0.86,110.86,877581.6
211,Orange-backed Woodpecker,Least Concern,Chrysocolaptes validus,Picidae,Piciformes,45.6,35.8,10.6,10.9,28.7,153.4,24.9,129.1,16.1,85.4,149,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.01,9.01,0.62,108.79,1291734.8
212,Puff-backed Bulbul,Near Threatened,Euptilotus eutilotus,Pycnonotidae,Passeriformes,18.3,11.8,4.8,5.2,17.7,91.5,17.6,73.4,19.3,77.3,35.3,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.95,14.54,1.44,107.26,821688.28
213,Purple-naped Sunbird,Least Concern,Kurochkinegramma hypogrammica,Nectariniidae,Passeriformes,21.5,15.9,3.7,3.5,16.4,66.2,9.1,57.4,13.7,47.2,11.4,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-5.95,26.42,7.01,105.83,2037212.16
214,Short-tailed Babbler,,Trichastoma malaccense,Pellorneidae,Passeriformes,17.5,10.3,4.1,4.3,29.5,69,5,63.6,7.4,36,21.4,NA,Forest,2,1,Carnivore,Invertivore,Generalist,-5.89,9.37,1.08,109.14,1073369.64
215,Siberian Blue Robin,Least Concern,Larvivora cyane,Muscicapidae,Passeriformes,15,8,3.3,3.4,24.7,74.4,19.3,55,26,46.4,14.8,NA,Forest,2,3,Carnivore,Invertivore,Generalist,30.99,64.86,53.95,117.4,6965582.78
216,Slaty-breasted Rail,Vulnerable,Aramidopsis plateni,Rallidae,Gruiformes,49.8,29.7,3.9,8.5,58.2,138,5.9,132.1,4.3,36,116,Lewinia striata,Woodland,2,1,Carnivore,Aquatic predator,Terrestrial,-4.9,1.76,-1.27,121.86,83126.44
217,White-rumped Shama,,Kittacincla malabarica,Muscicapidae,Passeriformes,20.7,12.8,4.6,5.4,27,95.6,16.8,78.8,17.7,121.8,29.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,30.6,13.24,98.35,4340999.43
218,Scaly-breasted_Bulbul,Near Threatened,Ixidia squamata,Pycnonotidae,Passeriformes,14.4,7.2,4.1,3.7,15.2,73.8,13.1,60.7,17.8,60.2,22,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.35,11.43,1.25,108.23,296711.64
219,Blue-breasted Quail,Least Concern,Synoicus chinensis,Phasianidae,Galliformes,13,7.4,3.3,4.2,19,69.7,16.3,57,22.2,27,40.4,NA,Grassland,2,1,Herbivore,Omnivore,Terrestrial,-39.24,28.96,8.56,109.19,8165093.61
220,Bornean Ground-Cuckoo,Vulnerable,Carpococcyx radiceus,Cuculidae,Cuculiformes,57.1,37.2,12.1,19.5,81.1,258.6,16.2,240.8,6.2,298.2,495.7,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-3.57,6.69,0.61,114.4,466895.64
221,Hill Blue-Flycatcher,Critically Endangered,Cyornis banyumas,Muscicapidae,Passeriformes,14.9,9.8,4.6,3.7,15.7,71.8,14.7,57,20.5,53,14.5,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,30.67,18.14,103.82,1769236.14
222,Large-billed Blue-Flycatcher,Vulnerable,Cyornis caerulatus,Muscicapidae,Passeriformes,15.3,10.4,4.9,4.6,17,71.6,14.5,57.1,20.1,52.5,17.8,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,7.04,0.21,108.67,963047.21
223,Olive-backed Woodpecker,,Dinopium rafflesii,Picidae,Piciformes,31.6,24.6,8.9,8.5,23.3,134.2,24.2,103.3,19,90.5,102,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.91,16.47,1.37,108.64,1030245.34
224,Rusty-breasted_Cuckoo,Least Concern,Cacomantis castaneiventris,Cuculidae,Cuculiformes,20.6,12.1,5.6,5.5,16.4,110.4,43.2,71.5,37.7,120.4,33.2,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-18,0.04,-5.63,140.88,790922.13
