,spp,redlistCategory,LatinName,Family1,Order1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
115,Spotted Fantail,Least Concern,Rhipidura perlata,Rhipiduridae,Passeriformes,14.8,7.8,4.9,4,15.1,83.3,16.3,67.2,19.5,81.6,13.4,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,7.26,0.74,108.74,1287003.58
116,Streaked Bulbul,Near Threatened,Ixos malaccensis,Pycnonotidae,Passeriformes,26,17.2,5.2,6.5,16.9,104,20.1,83.9,19.4,84.2,37.3,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,-5.95,13.52,1.45,109.69,976235.84
117,Streaky-breasted Spiderhunter,Least Concern,Arachnothera affinis,Nectariniidae,Passeriformes,40.5,31.1,5.7,5.2,19,87.3,16.7,71.3,19,54.2,26.4,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-8.85,7.04,-0.9,113.21,349980.16
118,Striped Wren-Babbler,Near Threatened,Kenopia striata,Pellorneidae,Passeriformes,15.9,9.4,3.4,4.2,22.2,67.3,5.7,62,8.4,50,19.9,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-4.08,9.76,2.57,106.24,114569.69
119,Thick-billed Spiderhunter,Least Concern,Arachnothera crassirostris,Nectariniidae,Passeriformes,33.5,26.9,4.7,4.7,16.2,70.6,14.4,56.3,20.4,42.6,16,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.95,10.46,1.52,109.17,899703.48
120,Velvet-fronted Nuthatch,Least Concern,Sitta frontalis,Sittidae,Passeriformes,14.3,9.2,3.6,3.4,16,72.7,16.7,55.7,23,38,16.5,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,30.66,14.99,97.27,5214819.55
121,Violet Cuckoo,Least Concern,Chrysococcyx xanthorhynchus,Cuculidae,Cuculiformes,19.3,13,5.5,5.1,14.9,100.4,41,59,41,68.6,22.4,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,28.09,8.64,106.16,2956376.12
122,Wallace's Hawk-Eagle,Vulnerable,Nisaetus nanus,Accipitridae,Accipitriformes,44.2,21.6,11.3,17.3,75.5,312.7,79.8,234.6,25.4,240.8,557.8,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-5.95,11.8,0.56,108.02,1094809.57
123,Whiskered Treeswift,Least Concern,Hemiprocne comata,Hemiprocnidae,Caprimulgiformes,5.7,3.1,2.8,2,6.2,128.8,68.8,53.6,56.2,75,20.6,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.95,18.65,2.8,110.36,1482225.39
124,White-bellied Munia,Least Concern,Lonchura leucogastra,Estrildidae,Passeriformes,14.1,9.3,7,8.2,13.8,50,9.8,40.4,19.7,34.2,11.4,NA,Forest,2,1,Herbivore,Granivore,Generalist,-7.11,19.58,2.81,111.28,1481477.6
125,White-bellied Woodpecker,Least Concern,Dryocopus javensis,Picidae,Piciformes,56.5,43.4,14.6,12.8,33.7,219.4,49,173.5,22,161,271.4,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,39.87,10.17,104.65,2693444.77
126,White-chested Babbler,,Trichastoma rostratum,Pellorneidae,Passeriformes,18.3,10.7,3.8,3.8,23.9,70.4,8.8,60.7,12.7,46.6,21,NA,Forest,2,1,Carnivore,Invertivore,Terrestrial,-5.05,12.79,1.32,112.22,789435.46
127,White-crowned Forktail,Least Concern,Enicurus leschenaulti,Muscicapidae,Passeriformes,21.4,13.9,4.2,4.7,28.5,93.6,18.4,73.2,20.2,97.2,33.8,NA,Riverine,3,1,Carnivore,Aquatic predator,Terrestrial,-8.85,36.33,19.16,105.94,6166589.04
128,White-crowned Hornbill,Endangered,Berenicornis comatus,Bucerotidae,Bucerotiformes,152.1,126.1,35,60.7,62.3,360.2,14.4,342.6,4,401.2,1470,NA,Forest,1,1,Carnivore,Omnivore,Generalist,-5,14.81,1.8,108.94,1179089.52
129,White-fronted Falconet,Near Threatened,Microhierax latifrons,Falconidae,Falconiformes,19.5,10.2,6.8,9.7,20.6,96.8,37.9,58.8,39.2,52.8,41.2,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,4,7.04,5.44,117.11,60479.23
130,Wreathed Hornbill,Vulnerable,Rhyticeros undulatus,Bucerotidae,Bucerotiformes,192.9,165.8,47.4,69,49,438.8,64.1,361.1,14.8,272.2,2214.6,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.85,27.44,9.93,103.94,3225027.08
131,Wrinkled Hornbill,Endangered,Rhabdotorrhinus corrugatus,Bucerotidae,Bucerotiformes,147.5,120.9,35.4,70.2,48.6,343.2,45.8,297.4,13.3,231.2,1590,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.95,7.25,0.71,107.72,892566.53
132,Yellow-bellied Prinia,Least Concern,Prinia flaviventris,Cisticolidae,Passeriformes,14,9.5,2.9,2.6,20.9,45.4,5.3,39.6,11.9,62.6,7,NA,Shrubland,3,1,Carnivore,Invertivore,Insessorial,-8.07,34.23,13.87,100.1,4037497.01
133,Yellow-breasted Flowerpecker,Least Concern,Prionochilus maculatus,Dicaeidae,Passeriformes,10.9,7.2,3.7,4.2,13.9,52.7,8.7,43.9,16.6,23.6,8,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.95,13.45,1.33,108.11,1401405.5
134,Yellow-crowned Barbet,Near Threatened,Psilopogon henricii,Megalaimidae,Piciformes,24.3,19.4,11,11.2,21.4,91.8,18.1,73.3,19.9,49.3,74.1,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.95,9.16,0.66,108.67,715928.64
135,Yellow-eared Spiderhunter,Least Concern,Arachnothera chrysogenys,Nectariniidae,Passeriformes,43.4,36.3,5.7,4.5,18.4,82.9,14.7,66.8,18,39.6,23.2,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-7.77,13.63,0.58,107.49,1237350.36
136,Yellow-rumped Flowerpecker,Least Concern,Prionochilus xanthopygius,Dicaeidae,Passeriformes,10,7,3.9,4.2,13.5,51.8,8,43.8,15.6,24.2,7.6,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-1.23,7.13,2.45,114.79,383880.17
137,Yellow-vented Bulbul,Least Concern,Pycnonotus goiavier,Pycnonotidae,Passeriformes,18.5,11.2,4.3,5,20.9,87,12.9,75.9,14.5,77.2,27.8,NA,Shrubland,2,1,Herbivore,Omnivore,Insessorial,-9.11,18.7,3.53,109.8,2111233.61
138,Zebra Dove,Least Concern,Geopelia striata,Columbidae,Columbiformes,17.2,7.6,2.5,2.9,15.5,97,27.1,70.6,27.7,95,56.6,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial,-8.96,18.65,2.77,107.92,1047872.82
139,Barn_Swallow,Least Concern,Hirundo rustica,Hirundinidae,Passeriformes,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,71.4,17.9,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,-37.53,71.13,47.56,34.57,51701054.06
140,Glossy_Swiftlet,Least Concern,Collocalia esculenta,Apodidae,Caprimulgiformes,7.1,2.5,1.7,1.6,8.1,99.5,66.4,30.8,68.3,41,6.3,NA,Forest,1,1,Carnivore,Invertivore,Aerial,-22.71,18.65,-0.2,121.13,2754917.74
141,Pacific_Swallow,Least Concern,Hirundo tahitica,Hirundinidae,Passeriformes,10.6,6,4.3,2.5,9.7,102.2,43.3,58.8,42.5,58.5,17.8,Hirundo javanica,Coastal,3,2,Carnivore,Invertivore,Aerial,-17.88,-16.98,-17.66,-149.46,1208.55
142,Straw-headed_Bulbul,Critically Endangered,Pycnonotus zeylanicus,Pycnonotidae,Passeriformes,24.3,13.2,5.1,7,24.1,114.4,12.6,101.7,10.9,105.4,86.3,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-5.18,7.36,2.15,111.51,656927.06
143,Thick-billed_Flowerpecker,Least Concern,Dicaeum agile,Dicaeidae,Passeriformes,10.5,6.3,3.7,4.3,14.6,61.6,15.5,46.3,25.1,31.1,9,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.37,33.69,16.87,91.52,4429303.46
144,Asian Black Hornbill,Vulnerable,Anthracoceros malayanus,Bucerotidae,Bucerotiformes,147.1,115.4,32,65,45.8,289.4,15.1,276.7,5.3,320.4,1050,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.95,8.1,0.64,109.01,798560.44
145,Asian Paradise-Flycatcher,Least Concern,Terpsiphone paradisi,Monarchidae,Passeriformes,24.9,14,7.8,5.9,18,95,18.3,73,20.1,110.2,19.2,Terpsiphone affinis,Woodland,2,2,Carnivore,Invertivore,Insessorial,5.92,42.65,26.34,76.61,3076941.41
146,Banded Pitta,Least Concern,Erythropitta arquata,Pittidae,Passeriformes,24.6,15.5,6.5,7.5,39,89.4,14.2,75.5,15.7,42.2,54,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,-1.76,6.62,2.74,115.37,214049.06
147,Black-and-white Bulbul,Near Threatened,Microtarsus melanoleucos,Pycnonotidae,Passeriformes,17.6,10.7,4.2,4.3,13.9,83.2,15.7,67.3,18.9,68.4,31,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-6.17,9,0.82,108.49,1181602.12
148,Black-bellied Malkoha,Near Threatened,Phaenicophaeus diardi,Cuculidae,Cuculiformes,31.6,24.4,11.3,12.5,29.6,127.2,12.4,114.3,9.8,195.5,62.1,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.96,11.83,1.27,108.18,1255042.99
149,Black-headed Pitta,Least Concern,Erythropitta ussheri,Pittidae,Passeriformes,22.9,14.3,5.9,7.3,39.7,84.4,11.3,71.2,13.7,29.5,55.3,NA,Forest,1,1,Carnivore,Invertivore,Terrestrial,4.13,7.04,5.54,117.54,41122.35
150,Blue-banded Kingfisher,Near Threatened,Alcedo peninsulae,Alcedinidae,Coraciiformes,49.4,38.4,7.7,10.3,11.6,80.7,17.1,62.7,21.4,35.1,43.1,NA,Riverine,1,1,Carnivore,Aquatic predator,Insessorial,-5.95,15.64,1.04,107.59,1168022.53
151,Blue-crowned Hanging-Parrot,Least Concern,Loriculus galgulus,Psittacidae,Psittaciformes,15.7,11.7,6.6,8.5,10.1,79.6,33.8,46.2,42.1,32.2,28,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-6.87,10.85,1.04,108.17,1413389.85
152,Blue-eared Barbet,Least Concern,Psilopogon cyanotis,Megalaimidae,Piciformes,17.6,13.9,7.7,8.3,19.6,83.7,16.1,67.5,19.3,50.4,33.3,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,8,29.43,18.97,100.36,1491530.46
153,Bold-striped Tit-Babbler,Least Concern,Mixornis bornensis,Timaliidae,Passeriformes,15.8,9.1,3.5,3.8,19.1,62.7,5.7,57,9.1,54.5,11.8,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-7.82,7.36,0.44,113.7,714008.81
154,Bornean Blue-Flycatcher,Least Concern,Cyornis superbus,Muscicapidae,Passeriformes,15.6,10.3,4.6,3.9,15.7,71,14.2,56.2,20.2,56.2,18,Cyornis omissus,Forest,1,1,Carnivore,Invertivore,Insessorial,-4.19,7.14,0.96,114.27,686177.62
155,Changeable Hawk-Eagle,Least Concern,Nisaetus cirrhatus,Accipitridae,Accipitriformes,49.9,25.8,12.6,21.7,97.7,414.6,115.8,298.5,27.9,289.8,1475.1,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-8.85,30.26,13.11,94.36,4408300.11
156,Checker-throated Woodpecker,Near Threatened,Chrysophlegma mentale,Picidae,Piciformes,33.1,24.3,8.8,8.6,24.2,142.8,35.8,107,25,106.5,99.7,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.78,-6.45,-7.53,110.32,40422.48
157,Chestnut-backed Scimitar-Babbler,Least Concern,Pomatorhinus montanus,Timaliidae,Passeriformes,25.5,17.8,3.8,5.7,29.3,85,9.1,75.1,10.8,81.2,28.6,NA,Forest,1,1,Carnivore,Invertivore,Generalist,-8.55,7.36,0.66,110.55,1078578.59
158,Chestnut-bellied Malkoha,Near Threatened,Phaenicophaeus sumatranus,Cuculidae,Cuculiformes,36.1,26.4,10.5,13.2,32.5,138.8,14.9,125.1,10.6,212.4,91.9,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.96,11.83,1.23,108.15,1280940.39
159,Chestnut-breasted Malkoha,Least Concern,Phaenicophaeus curvirostris,Cuculidae,Cuculiformes,45,29.4,14.3,17.1,34.1,164.5,17.6,146.9,10.7,224.5,154,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.85,13.97,0.78,108.54,1217500.23
160,Crested Serpent-Eagle,Least Concern,Spilornis cheela,Accipitridae,Accipitriformes,45.6,30.1,14.4,20.8,82.2,373.7,112.6,261.1,30.1,237.4,597.7,NA,Forest,1,1,Carnivore,Vertivore,Insessorial,-8.85,34.11,16.74,98.68,6837152.16
161,Drongo Cuckoo,Least Concern,Surniculus dicruroides,Cuculidae,Cuculiformes,23.5,14.7,6.2,7.1,15.6,135.8,47,88.8,34.6,123,29.7,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,5.92,33.71,23.85,95.65,3187996.6
162,Finsch's Bulbul,Near Threatened,Iole finschii,Pycnonotidae,Passeriformes,17.5,11.6,4.7,5.6,15.9,84.8,16.2,68.6,19,67.2,24.2,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.95,6.53,0.81,110.14,779808.76
163,Gold-whiskered Barbet,Least Concern,Psilopogon chrysopogon,Megalaimidae,Piciformes,45.8,37.6,15.8,17.5,31.5,124.7,23.7,103,18.8,74,151,NA,Forest,1,1,Omnivore,Frugivore,Insessorial,-5.49,11.89,1.68,110.83,924419.88
