,purpose,scale,level,timing,sn
7223,"Pets/display animals, horticulture",international,non-trivial,recent,Sphecotheres vieilloti
7224,"Pets/display animals, horticulture",international,non-trivial,recent,Sphecotheres viridis
7225,NA,NA,NA,NA,Sphecotheres hypoleucus
7226,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus sagittatus
7227,NA,NA,NA,NA,Oriolus phaeochromus
7228,NA,NA,NA,NA,Oriolus szalayi
7229,NA,NA,NA,NA,Oriolus finschi
7230,NA,NA,NA,NA,Oriolus melanotis
7231,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus flavocinctus
7232,NA,NA,NA,NA,Oriolus forsteni
7233,NA,NA,NA,NA,Oriolus decipiens
7234,NA,NA,NA,NA,Oriolus bouroensis
7235,NA,NA,NA,NA,Oriolus xanthonotus
7236,NA,NA,NA,NA,Oriolus consobrinus
7237,NA,NA,NA,NA,Oriolus steerii
7238,NA,NA,NA,NA,Oriolus albiloris
7239,NA,NA,NA,NA,Oriolus isabellae
7240,NA,NA,NA,NA,Oriolus hosii
7241,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus consanguineus
7242,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus cruentus
7243,"Pets/display animals, horticulture",NA,non-trivial,recent,Oriolus traillii
7244,NA,NA,NA,NA,Oriolus mellianus
7245,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus xanthornus
7246,NA,NA,NA,NA,Oriolus brachyrynchus
7247,NA,NA,NA,NA,Oriolus crassirostris
7248,NA,NA,NA,NA,Oriolus chlorocephalus
7249,NA,NA,NA,NA,Oriolus monacha
7250,NA,NA,NA,NA,Oriolus larvatus
7251,NA,NA,NA,NA,Oriolus percivali
7252,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus nigripennis
7253,Food - human,,non-trivial,recent,Oriolus oriolus
7254,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus oriolus
7255,Sport hunting/specimen collecting,,non-trivial,recent,Oriolus oriolus
7256,Food - human,,non-trivial,recent,Oriolus kundoo
7257,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus kundoo
7258,Sport hunting/specimen collecting,,non-trivial,recent,Oriolus kundoo
7259,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus auratus
7260,Food - human,,non-trivial,recent,Oriolus chinensis
7261,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus chinensis
7262,"Pets/display animals, horticulture",international,non-trivial,recent,Oriolus tenuirostris
