,purpose,scale,level,timing,sn
1,Food - human,,non-trivial,recent,Struthio camelus
2,Food - human,,non-trivial,recent,Struthio camelus
3,"Handicrafts, jewellery, etc.",,non-trivial,recent,Struthio camelus
4,"Handicrafts, jewellery, etc.",,non-trivial,recent,Struthio camelus
5,"Pets/display animals, horticulture",international,non-trivial,recent,Struthio camelus
6,"Pets/display animals, horticulture",international,non-trivial,recent,Struthio camelus
7,Food - human,NA,non-trivial,recent,Struthio molybdophanes
8,"Handicrafts, jewellery, etc.",NA,non-trivial,recent,Struthio molybdophanes
9,"Wearing apparel, accessories",NA,non-trivial,recent,Struthio molybdophanes
10,Food - human,,non-trivial,recent,Rhea americana
11,Medicine - human & veterinary,,non-trivial,recent,Rhea americana
12,Other household goods,,non-trivial,recent,Rhea americana
13,"Pets/display animals, horticulture",international,non-trivial,recent,Rhea americana
14,Food - human,,non-trivial,recent,Rhea pennata
15,"Handicrafts, jewellery, etc.",international,non-trivial,recent,Rhea pennata
16,NA,NA,NA,NA,Nothocercus julius
17,Food - human,NA,non-trivial,recent,Nothocercus bonapartei
18,NA,NA,NA,NA,Nothocercus nigrocapillus
19,Food - human,NA,non-trivial,recent,Tinamus tao
20,Food - human,,non-trivial,recent,Tinamus solitarius
21,"Pets/display animals, horticulture",international,non-trivial,recent,Tinamus solitarius
22,Food - human,NA,non-trivial,recent,Tinamus osgoodi
23,Food - human,,non-trivial,recent,Tinamus major
24,"Pets/display animals, horticulture",international,non-trivial,recent,Tinamus major
25,Food - human,,non-trivial,recent,Tinamus guttatus
26,"Pets/display animals, horticulture",international,non-trivial,recent,Tinamus guttatus
27,NA,NA,NA,NA,Crypturellus berlepschi
28,NA,NA,NA,NA,Crypturellus cinereus
29,Food - human,NA,non-trivial,recent,Crypturellus ptaritepui
30,Food - human,,non-trivial,recent,Crypturellus soui
31,"Pets/display animals, horticulture",international,non-trivial,recent,Crypturellus soui
32,Food - human,NA,non-trivial,recent,Crypturellus obsoletus
33,"Pets/display animals, horticulture",NA,non-trivial,recent,Crypturellus obsoletus
34,NA,NA,NA,NA,Crypturellus undulatus
35,NA,NA,NA,NA,Crypturellus strigulosus
36,NA,NA,NA,NA,Crypturellus duidae
37,NA,NA,NA,NA,Crypturellus erythropus
38,Food - human,NA,non-trivial,recent,Crypturellus noctivagus
39,NA,NA,NA,NA,Crypturellus atrocapillus
40,Food - human,NA,non-trivial,recent,Crypturellus cinnamomeus
41,Food - human,NA,non-trivial,recent,Crypturellus transfasciatus
42,Food - human,NA,non-trivial,recent,Crypturellus boucardi
43,Food - human,NA,non-trivial,recent,Crypturellus kerriae
44,NA,NA,NA,NA,Crypturellus variegatus
45,NA,NA,NA,NA,Crypturellus brevirostris
46,NA,NA,NA,NA,Crypturellus bartletti
47,NA,NA,NA,NA,Crypturellus casiquiare
48,Food - human,,non-trivial,recent,Crypturellus parvirostris
49,"Pets/display animals, horticulture",international,non-trivial,recent,Crypturellus parvirostris
50,Food - human,NA,non-trivial,recent,Crypturellus tataupa
51,"Pets/display animals, horticulture",NA,non-trivial,recent,Crypturellus tataupa
52,Food - human,,non-trivial,recent,Rhynchotus rufescens
53,"Pets/display animals, horticulture",international,non-trivial,recent,Rhynchotus rufescens
54,NA,NA,NA,NA,Rhynchotus maculicollis
55,Food - human,NA,non-trivial,recent,Nothoprocta taczanowskii
56,NA,NA,NA,NA,Nothoprocta ornata
57,Food - human,,non-trivial,recent,Nothoprocta perdicaria
58,"Pets/display animals, horticulture",international,non-trivial,recent,Nothoprocta perdicaria
59,NA,NA,NA,NA,Nothoprocta cinerascens
60,NA,NA,NA,NA,Nothoprocta pentlandii
61,NA,NA,NA,NA,Nothoprocta curvirostris
62,NA,NA,NA,NA,Nothura boraquira
63,NA,NA,NA,NA,Nothura minor
64,NA,NA,NA,NA,Nothura darwinii
65,Food - human,NA,non-trivial,recent,Nothura maculosa
66,"Pets/display animals, horticulture",NA,non-trivial,recent,Nothura maculosa
67,Sport hunting/specimen collecting,NA,non-trivial,recent,Nothura maculosa
68,NA,NA,NA,NA,Taoniscus nanus
69,NA,NA,NA,NA,Eudromia elegans
70,NA,NA,NA,NA,Eudromia formosa
71,NA,NA,NA,NA,Tinamotis pentlandii
72,NA,NA,NA,NA,Tinamotis ingoufi
73,Food - human,NA,non-trivial,recent,Casuarius casuarius
74,"Pets/display animals, horticulture",NA,non-trivial,recent,Casuarius casuarius
75,Sport hunting/specimen collecting,NA,non-trivial,recent,Casuarius casuarius
76,Food - human,,non-trivial,recent,Casuarius bennetti
77,"Pets/display animals, horticulture",international,non-trivial,recent,Casuarius bennetti
78,Food - human,,non-trivial,recent,Casuarius unappendiculatus
79,"Handicrafts, jewellery, etc.",,non-trivial,recent,Casuarius unappendiculatus
80,"Pets/display animals, horticulture",international,non-trivial,recent,Casuarius unappendiculatus
81,Food - human,,non-trivial,recent,Dromaius novaehollandiae
82,"Pets/display animals, horticulture",international,non-trivial,recent,Dromaius novaehollandiae
83,NA,NA,NA,NA,Apteryx haastii
84,NA,NA,NA,NA,Apteryx owenii
85,NA,NA,NA,NA,Apteryx mantelli
86,"Pets/display animals, horticulture",international,non-trivial,recent,Apteryx australis
87,NA,NA,NA,NA,Apteryx rowi
88,Food - human,,non-trivial,recent,Alectura lathami
89,"Pets/display animals, horticulture",international,non-trivial,recent,Alectura lathami
90,NA,NA,NA,NA,Aepypodius arfakianus
91,Food - human,NA,non-trivial,recent,Aepypodius bruijnii
92,Food - human,NA,non-trivial,recent,Talegalla cuvieri
93,NA,NA,NA,NA,Talegalla fuscirostris
94,NA,NA,NA,NA,Talegalla jobiensis
95,NA,NA,NA,NA,Leipoa ocellata
96,Food - human,,non-trivial,recent,Macrocephalon maleo
97,Other household goods,,non-trivial,recent,Macrocephalon maleo
98,"Pets/display animals, horticulture",international,non-trivial,recent,Macrocephalon maleo
99,Sport hunting/specimen collecting,,non-trivial,recent,Macrocephalon maleo
100,Food - human,NA,non-trivial,recent,Eulipoa wallacei
101,Food - human,NA,non-trivial,recent,Megapodius nicobariensis
102,Food - human,NA,non-trivial,recent,Megapodius cumingii
103,Food - human,NA,non-trivial,recent,Megapodius bernsteinii
104,Food - human,NA,non-trivial,recent,Megapodius tenimberensis
105,NA,NA,NA,NA,Megapodius layardi
106,Food - human,NA,non-trivial,recent,Megapodius laperouse
107,Food - human,,non-trivial,recent,Megapodius pritchardii
108,"Pets/display animals, horticulture",international,non-trivial,recent,Megapodius pritchardii
109,Food - human,,non-trivial,recent,Megapodius freycinet
110,"Pets/display animals, horticulture",international,non-trivial,recent,Megapodius freycinet
111,Food - human,NA,non-trivial,recent,Megapodius geelvinkianus
112,NA,NA,NA,NA,Megapodius decollatus
113,Food - human,NA,non-trivial,recent,Megapodius eremita
114,NA,NA,NA,NA,Megapodius reinwardt
115,Food - human,NA,non-trivial,recent,Chamaepetes unicolor
116,NA,NA,NA,NA,Chamaepetes goudotii
117,Food - human,,non-trivial,recent,Penelopina nigra
118,"Pets/display animals, horticulture",international,non-trivial,recent,Penelopina nigra
119,Food - human,NA,non-trivial,recent,Penelope argyrotis
120,Food - human,NA,non-trivial,recent,Penelope barbata
121,Food - human,NA,non-trivial,recent,Penelope ortoni
122,NA,NA,NA,NA,Penelope montagnii
123,NA,NA,NA,NA,Penelope marail
124,Food - human,NA,non-trivial,recent,Penelope superciliaris
125,"Pets/display animals, horticulture",NA,non-trivial,recent,Penelope superciliaris
126,NA,NA,NA,NA,Penelope dabbenei
127,NA,NA,NA,NA,Penelope jacquacu
128,Food - human,,non-trivial,recent,Penelope purpurascens
129,"Pets/display animals, horticulture",international,non-trivial,recent,Penelope purpurascens
130,Sport hunting/specimen collecting,,non-trivial,recent,Penelope purpurascens
131,Food - human,,non-trivial,recent,Penelope perspicax
132,"Pets/display animals, horticulture",international,non-trivial,recent,Penelope perspicax
133,Food - human,,non-trivial,recent,Penelope albipennis
134,Food - human,,non-trivial,recent,Penelope albipennis
135,"Pets/display animals, horticulture",international,non-trivial,recent,Penelope albipennis
136,"Pets/display animals, horticulture",international,non-trivial,recent,Penelope albipennis
137,NA,NA,NA,NA,Penelope obscura
138,Food - human,,non-trivial,recent,Penelope pileata
139,"Pets/display animals, horticulture",international,non-trivial,recent,Penelope pileata
140,Food - human,NA,non-trivial,recent,Penelope ochrogaster
141,Food - human,NA,non-trivial,recent,Penelope jacucaca
142,Medicine - human & veterinary,NA,non-trivial,recent,Penelope jacucaca
143,"Pets/display animals, horticulture",NA,non-trivial,recent,Penelope jacucaca
144,Food - human,,non-trivial,recent,Pipile pipile
145,"Pets/display animals, horticulture",international,non-trivial,recent,Pipile pipile
146,Sport hunting/specimen collecting,,non-trivial,recent,Pipile pipile
147,Food - human,,non-trivial,recent,Pipile cumanensis
148,"Pets/display animals, horticulture",international,non-trivial,recent,Pipile cumanensis
149,Food - human,,non-trivial,recent,Pipile grayi
150,"Pets/display animals, horticulture",international,non-trivial,recent,Pipile grayi
151,Food - human,NA,non-trivial,recent,Pipile cujubi
152,Food - human,NA,non-trivial,recent,Pipile jacutinga
153,"Pets/display animals, horticulture",NA,non-trivial,recent,Pipile jacutinga
154,Food - human,NA,non-trivial,recent,Aburria aburri
155,Food - human,,non-trivial,recent,Oreophasis derbianus
156,"Pets/display animals, horticulture",international,non-trivial,recent,Oreophasis derbianus
157,Food - human,,non-trivial,recent,Ortalis vetula
158,"Pets/display animals, horticulture",international,non-trivial,recent,Ortalis vetula
159,Food - human,,non-trivial,recent,Ortalis cinereiceps
160,"Pets/display animals, horticulture",international,non-trivial,recent,Ortalis cinereiceps
161,NA,NA,NA,NA,Ortalis garrula
162,Food - human,NA,non-trivial,recent,Ortalis ruficauda
163,Food - human,NA,non-trivial,recent,Ortalis erythroptera
164,Food - human,NA,non-trivial,recent,Ortalis wagleri
165,Food - human,,non-trivial,recent,Ortalis poliocephala
166,"Pets/display animals, horticulture",international,non-trivial,recent,Ortalis poliocephala
167,NA,NA,NA,NA,Ortalis canicollis
168,Food - human,,non-trivial,recent,Ortalis leucogastra
169,"Pets/display animals, horticulture",international,non-trivial,recent,Ortalis leucogastra
170,NA,NA,NA,NA,Ortalis columbiana
171,NA,NA,NA,NA,Ortalis guttata
172,NA,NA,NA,NA,Ortalis araucuan
173,NA,NA,NA,NA,Ortalis squamata
174,NA,NA,NA,NA,Ortalis motmot
175,NA,NA,NA,NA,Ortalis superciliaris
176,NA,NA,NA,NA,Nothocrax urumutum
177,Food - human,,non-trivial,recent,Crax rubra
178,"Pets/display animals, horticulture",international,non-trivial,recent,Crax rubra
179,Food - human,,non-trivial,recent,Crax alberti
180,"Pets/display animals, horticulture",international,non-trivial,recent,Crax alberti
181,Food - human,,non-trivial,recent,Crax daubentoni
182,"Pets/display animals, horticulture",international,non-trivial,recent,Crax daubentoni
183,Sport hunting/specimen collecting,,non-trivial,recent,Crax daubentoni
184,Food - human,,non-trivial,recent,Crax alector
185,"Pets/display animals, horticulture",international,non-trivial,recent,Crax alector
186,Food - human,NA,non-trivial,recent,Crax fasciolata
187,"Pets/display animals, horticulture",NA,non-trivial,recent,Crax fasciolata
188,Food - human,,non-trivial,recent,Crax pinima
189,"Pets/display animals, horticulture",international,non-trivial,recent,Crax pinima
190,Food - human,NA,non-trivial,recent,Crax globulosa
191,Food - human,NA,non-trivial,recent,Crax blumenbachii
192,Food - human,NA,non-trivial,recent,Mitu tomentosum
193,Food - human,,non-trivial,recent,Mitu tuberosum
194,Medicine - human & veterinary,,non-trivial,recent,Mitu tuberosum
195,"Pets/display animals, horticulture",international,non-trivial,recent,Mitu tuberosum
196,NA,NA,NA,NA,Mitu salvini
197,Food - human,NA,non-trivial,recent,Pauxi unicornis
198,Food - human,NA,non-trivial,recent,Pauxi koepckeae
199,Food - human,NA,non-trivial,recent,Pauxi pauxi
200,"Handicrafts, jewellery, etc.",NA,non-trivial,recent,Pauxi pauxi
201,Food - human,NA,non-trivial,recent,Numida meleagris
202,"Pets/display animals, horticulture",NA,non-trivial,recent,Numida meleagris
203,Food - human,,non-trivial,recent,Agelastes meleagrides
204,"Pets/display animals, horticulture",international,non-trivial,recent,Agelastes meleagrides
205,Food - human,NA,non-trivial,recent,Agelastes niger
206,NA,NA,NA,NA,Acryllium vulturinum
207,Food - human,NA,non-trivial,recent,Guttera plumifera
208,Food - human,,non-trivial,recent,Guttera verreauxi
209,"Pets/display animals, horticulture",international,non-trivial,recent,Guttera verreauxi
210,Food - human,,non-trivial,recent,Guttera pucherani
211,"Pets/display animals, horticulture",international,non-trivial,recent,Guttera pucherani
212,Food - human,NA,non-trivial,recent,Guttera edouardi
213,"Pets/display animals, horticulture",NA,non-trivial,recent,Guttera edouardi
214,NA,NA,NA,NA,Ptilopachus petrosus
215,Food - human,NA,non-trivial,recent,Ptilopachus nahani
216,Other household goods,NA,non-trivial,recent,Ptilopachus nahani
217,Food - human,NA,non-trivial,recent,Philortyx fasciatus
218,Food - human,,non-trivial,recent,Oreortyx pictus
219,"Pets/display animals, horticulture",international,non-trivial,recent,Oreortyx pictus
220,Food - human,,non-trivial,recent,Colinus virginianus
221,"Pets/display animals, horticulture",international,non-trivial,recent,Colinus virginianus
222,Sport hunting/specimen collecting,,non-trivial,recent,Colinus virginianus
223,"Pets/display animals, horticulture",international,non-trivial,recent,Colinus nigrogularis
224,NA,NA,NA,NA,Colinus leucopogon
225,NA,NA,NA,NA,Colinus cristatus
226,Food - human,,non-trivial,recent,Callipepla squamata
227,"Pets/display animals, horticulture",international,non-trivial,recent,Callipepla squamata
228,Sport hunting/specimen collecting,,non-trivial,recent,Callipepla squamata
229,Food - human,,non-trivial,recent,Callipepla douglasii
230,"Pets/display animals, horticulture",international,non-trivial,recent,Callipepla douglasii
231,Food - human,,non-trivial,recent,Callipepla gambelii
232,"Pets/display animals, horticulture",international,non-trivial,recent,Callipepla gambelii
233,Food - human,,non-trivial,recent,Callipepla californica
234,"Pets/display animals, horticulture",international,non-trivial,recent,Callipepla californica
235,Sport hunting/specimen collecting,,non-trivial,recent,Callipepla californica
236,Food - human,,non-trivial,recent,Dendrortyx barbatus
237,"Pets/display animals, horticulture",international,non-trivial,recent,Dendrortyx barbatus
238,Sport hunting/specimen collecting,,non-trivial,recent,Dendrortyx barbatus
239,Food - human,NA,non-trivial,recent,Dendrortyx macroura
240,Food - human,NA,non-trivial,recent,Dendrortyx leucophrys
241,Food - human,NA,non-trivial,recent,Odontophorus gujanensis
242,NA,NA,NA,NA,Odontophorus capueira
243,Food - human,NA,non-trivial,recent,Odontophorus melanotis
244,NA,NA,NA,NA,Odontophorus erythrops
245,Food - human,NA,non-trivial,recent,Odontophorus atrifrons
246,Food - human,NA,non-trivial,recent,Odontophorus hyperythrus
247,Food - human,NA,non-trivial,recent,Odontophorus melanonotus
248,Food - human,NA,non-trivial,recent,Odontophorus speciosus
249,Food - human,NA,non-trivial,recent,Odontophorus dialeucos
250,Food - human,NA,non-trivial,recent,Odontophorus strophium
251,Food - human,NA,non-trivial,recent,Odontophorus columbianus
252,Food - human,NA,non-trivial,recent,Odontophorus leucolaemus
253,NA,NA,NA,NA,Odontophorus balliviani
254,NA,NA,NA,NA,Odontophorus stellatus
255,Food - human,NA,non-trivial,recent,Odontophorus guttatus
256,Food - human,NA,non-trivial,recent,Rhynchortyx cinctus
257,Food - human,NA,non-trivial,recent,Dactylortyx thoracicus
258,Food - human,,non-trivial,recent,Cyrtonyx montezumae
259,"Pets/display animals, horticulture",international,non-trivial,recent,Cyrtonyx montezumae
260,Food - human,,non-trivial,recent,Cyrtonyx sallei
261,"Pets/display animals, horticulture",international,non-trivial,recent,Cyrtonyx sallei
262,Food - human,NA,non-trivial,recent,Cyrtonyx ocellatus
263,"Pets/display animals, horticulture",NA,non-trivial,recent,Cyrtonyx ocellatus
264,Food - human,NA,non-trivial,recent,Xenoperdix udzungwensis
265,Food - human,,non-trivial,recent,Rollulus rouloul
266,"Pets/display animals, horticulture",international,non-trivial,recent,Rollulus rouloul
267,"Pets/display animals, horticulture",international,non-trivial,recent,Arborophila torqueola
268,NA,NA,NA,NA,Arborophila rufogularis
269,Food - human,NA,non-trivial,recent,Arborophila atrogularis
270,NA,NA,NA,NA,Arborophila crudigularis
271,Food - human,NA,non-trivial,recent,Arborophila mandellii
272,NA,NA,NA,NA,Arborophila brunneopectus
273,NA,NA,NA,NA,Arborophila rufipectus
274,NA,NA,NA,NA,Arborophila gingica
275,Food - human,NA,non-trivial,recent,Arborophila davidi
276,NA,NA,NA,NA,Arborophila cambodiana
277,NA,NA,NA,NA,Arborophila campbelli
278,NA,NA,NA,NA,Arborophila rolli
279,NA,NA,NA,NA,Arborophila sumatrana
280,Food - human,NA,non-trivial,recent,Arborophila orientalis
281,"Pets/display animals, horticulture",NA,non-trivial,recent,Arborophila orientalis
282,NA,NA,NA,NA,Arborophila javanica
283,NA,NA,NA,NA,Arborophila rubrirostris
284,NA,NA,NA,NA,Arborophila hyperythra
285,NA,NA,NA,NA,Arborophila ardens
286,Food - human,NA,non-trivial,recent,Tropicoperdix chloropus
287,Food - human,NA,non-trivial,recent,Tropicoperdix tonkinensis
288,"Pets/display animals, horticulture",international,non-trivial,recent,Tropicoperdix charltonii
289,"Pets/display animals, horticulture",international,non-trivial,recent,Tropicoperdix graydoni
290,NA,NA,NA,NA,Rhizothera longirostris
291,Food - human,,non-trivial,recent,Melanoperdix niger
292,"Pets/display animals, horticulture",international,non-trivial,recent,Melanoperdix niger
293,NA,NA,NA,NA,Haematortyx sanguiniceps
294,NA,NA,NA,NA,Caloperdix oculeus
295,NA,NA,NA,NA,Galloperdix spadicea
296,NA,NA,NA,NA,Galloperdix lunulata
297,NA,NA,NA,NA,Galloperdix bicalcarata
298,Food - human,NA,non-trivial,recent,Afropavo congensis
299,NA,NA,NA,NA,Pavo cristatus
300,Food - human,NA,non-trivial,recent,Pavo muticus
301,"Handicrafts, jewellery, etc.",NA,non-trivial,recent,Pavo muticus
302,Other household goods,NA,non-trivial,recent,Pavo muticus
303,"Pets/display animals, horticulture",NA,non-trivial,recent,Pavo muticus
304,Sport hunting/specimen collecting,NA,non-trivial,recent,Pavo muticus
305,Food - human,,non-trivial,recent,Argusianus argus
306,"Pets/display animals, horticulture",international,non-trivial,recent,Argusianus argus
307,"Pets/display animals, horticulture",international,non-trivial,recent,Rheinardia nigrescens
308,Food - human,NA,non-trivial,recent,Polyplectron napoleonis
309,"Pets/display animals, horticulture",NA,non-trivial,recent,Polyplectron napoleonis
310,Food - human,,non-trivial,recent,Polyplectron malacense
311,"Pets/display animals, horticulture",international,non-trivial,recent,Polyplectron malacense
312,Sport hunting/specimen collecting,,non-trivial,recent,Polyplectron malacense
313,NA,NA,NA,NA,Polyplectron schleiermacheri
314,Food - human,,non-trivial,recent,Polyplectron germaini
315,"Pets/display animals, horticulture",international,non-trivial,recent,Polyplectron germaini
316,NA,NA,NA,NA,Polyplectron katsumatae
317,NA,NA,NA,NA,Polyplectron bicalcaratum
318,Food - human,NA,non-trivial,recent,Polyplectron inopinatum
319,NA,NA,NA,NA,Polyplectron chalcurum
320,Food - human,,non-trivial,recent,Margaroperdix madagarensis
321,"Pets/display animals, horticulture",international,non-trivial,recent,Margaroperdix madagarensis
322,Food - human,,non-trivial,recent,Coturnix coturnix
323,"Pets/display animals, horticulture",international,non-trivial,recent,Coturnix coturnix
324,Sport hunting/specimen collecting,,non-trivial,recent,Coturnix coturnix
325,Food - human,,non-trivial,recent,Coturnix japonica
326,"Pets/display animals, horticulture",international,non-trivial,recent,Coturnix japonica
327,NA,NA,NA,NA,Coturnix coromandelica
328,NA,NA,NA,NA,Coturnix delegorguei
329,NA,NA,NA,NA,Coturnix pectoralis
330,NA,NA,NA,NA,Synoicus ypsilophorus
331,Food - human,,non-trivial,recent,Synoicus chinensis
332,"Pets/display animals, horticulture",international,non-trivial,recent,Synoicus chinensis
333,Food - human,,non-trivial,recent,Synoicus adansonii
334,"Pets/display animals, horticulture",international,non-trivial,recent,Synoicus adansonii
335,Food - human,NA,non-trivial,recent,Anurophasis monorthonyx
336,Food - human,NA,non-trivial,recent,Tetraogallus caucasicus
337,NA,NA,NA,NA,Tetraogallus caspius
338,Food - human,,non-trivial,recent,Tetraogallus himalayensis
339,Medicine - human & veterinary,,non-trivial,recent,Tetraogallus himalayensis
340,"Pets/display animals, horticulture",international,non-trivial,recent,Tetraogallus himalayensis
341,NA,NA,NA,NA,Tetraogallus tibetanus
342,NA,NA,NA,NA,Tetraogallus altaicus
343,Food - human,,non-trivial,recent,Alectoris graeca
344,"Pets/display animals, horticulture",international,non-trivial,recent,Alectoris graeca
345,Sport hunting/specimen collecting,,non-trivial,recent,Alectoris graeca
346,Food - human,,non-trivial,recent,Alectoris chukar
347,"Pets/display animals, horticulture",international,non-trivial,recent,Alectoris chukar
348,Sport hunting/specimen collecting,,non-trivial,recent,Alectoris chukar
349,NA,NA,NA,NA,Alectoris magna
350,NA,NA,NA,NA,Alectoris philbyi
351,Food - human,,non-trivial,recent,Alectoris barbara
352,"Pets/display animals, horticulture",international,non-trivial,recent,Alectoris barbara
353,Sport hunting/specimen collecting,,non-trivial,recent,Alectoris barbara
354,Food - human,,non-trivial,recent,Alectoris rufa
355,"Pets/display animals, horticulture",international,non-trivial,recent,Alectoris rufa
356,Sport hunting/specimen collecting,,non-trivial,recent,Alectoris rufa
357,NA,NA,NA,NA,Alectoris melanocephala
358,NA,NA,NA,NA,Lerwa lerwa
359,NA,NA,NA,NA,Ammoperdix griseogularis
360,NA,NA,NA,NA,Ammoperdix heyi
361,"Pets/display animals, horticulture",international,non-trivial,recent,Perdicula asiatica
362,NA,NA,NA,NA,Perdicula argoondah
363,NA,NA,NA,NA,Perdicula erythrorhyncha
364,Food - human,NA,non-trivial,recent,Perdicula manipurensis
365,Food - human,NA,non-trivial,recent,Ophrysia superciliosa
366,NA,NA,NA,NA,Pternistis hartlaubi
367,NA,NA,NA,NA,Pternistis bicalcaratus
368,NA,NA,NA,NA,Pternistis icterorhynchus
369,NA,NA,NA,NA,Pternistis clappertoni
370,Food - human,NA,non-trivial,recent,Pternistis harwoodi
371,NA,NA,NA,NA,Pternistis adspersus
372,Food - human,NA,non-trivial,recent,Pternistis capensis
373,NA,NA,NA,NA,Pternistis natalensis
374,"Pets/display animals, horticulture",international,non-trivial,recent,Pternistis hildebrandti
375,NA,NA,NA,NA,Pternistis ahantensis
376,NA,NA,NA,NA,Pternistis squamatus
377,NA,NA,NA,NA,Pternistis griseostriatus
378,NA,NA,NA,NA,Pternistis leucoscepus
379,NA,NA,NA,NA,Pternistis rufopictus
380,Food - human,,non-trivial,recent,Pternistis afer
381,"Pets/display animals, horticulture",international,non-trivial,recent,Pternistis afer
382,NA,NA,NA,NA,Pternistis swainsonii
383,Food - human,NA,non-trivial,recent,Pternistis jacksoni
384,NA,NA,NA,NA,Pternistis nobilis
385,Food - human,NA,non-trivial,recent,Pternistis camerunensis
386,Food - human,NA,non-trivial,recent,Pternistis swierstrai
387,NA,NA,NA,NA,Pternistis castaneicollis
388,NA,NA,NA,NA,Pternistis atrifrons
389,"Pets/display animals, horticulture",international,non-trivial,recent,Pternistis erckelii
390,Food - human,NA,non-trivial,recent,Pternistis ochropectus
391,Food - human,NA,non-trivial,recent,Pternistis ochropectus
392,Food - human,,non-trivial,recent,Francolinus francolinus
393,Food - human,,non-trivial,recent,Francolinus francolinus
394,"Pets/display animals, horticulture",international,non-trivial,recent,Francolinus francolinus
395,"Pets/display animals, horticulture",international,non-trivial,recent,Francolinus francolinus
396,Sport hunting/specimen collecting,,non-trivial,recent,Francolinus francolinus
397,Sport hunting/specimen collecting,,non-trivial,recent,Francolinus francolinus
398,NA,NA,NA,NA,Francolinus pictus
399,NA,NA,NA,NA,Francolinus pintadeanus
400,Food - human,,non-trivial,recent,Ortygornis pondicerianus
401,"Pets/display animals, horticulture",international,non-trivial,recent,Ortygornis pondicerianus
402,NA,NA,NA,NA,Ortygornis gularis
403,NA,NA,NA,NA,Ortygornis sephaena
404,Food - human,NA,non-trivial,recent,Campocolinus coqui
405,"Pets/display animals, horticulture",NA,non-trivial,recent,Campocolinus coqui
406,NA,NA,NA,NA,Campocolinus albogularis
407,NA,NA,NA,NA,Campocolinus schlegelii
408,NA,NA,NA,NA,Peliperdix lathami
409,NA,NA,NA,NA,Scleroptila streptophora
410,NA,NA,NA,NA,Scleroptila levaillantii
411,NA,NA,NA,NA,Scleroptila afra
412,NA,NA,NA,NA,Scleroptila finschi
413,Food - human,NA,non-trivial,recent,Scleroptila psilolaema
414,Food - human,NA,non-trivial,recent,Scleroptila elgonensis
415,"Pets/display animals, horticulture",international,non-trivial,recent,Scleroptila shelleyi
416,"Pets/display animals, horticulture",international,non-trivial,recent,Scleroptila whytei
417,NA,NA,NA,NA,Scleroptila gutturalis
418,NA,NA,NA,NA,Bambusicola fytchii
419,Food - human,,non-trivial,recent,Bambusicola thoracicus
420,"Pets/display animals, horticulture",international,non-trivial,recent,Bambusicola thoracicus
421,Food - human,,non-trivial,recent,Bambusicola sonorivox
422,"Pets/display animals, horticulture",international,non-trivial,recent,Bambusicola sonorivox
423,NA,NA,NA,NA,Gallus gallus
424,NA,NA,NA,NA,Gallus sonneratii
425,NA,NA,NA,NA,Gallus lafayettii
426,Food - human,,non-trivial,recent,Gallus varius
427,"Pets/display animals, horticulture",international,non-trivial,recent,Gallus varius
428,Sport hunting/specimen collecting,,non-trivial,recent,Gallus varius
429,NA,NA,NA,NA,Tetraophasis obscurus
430,NA,NA,NA,NA,Tetraophasis szechenyii
431,NA,NA,NA,NA,Lophophorus impejanus
432,Food - human,NA,non-trivial,recent,Lophophorus sclateri
433,Food - human,,non-trivial,recent,Lophophorus lhuysii
434,"Pets/display animals, horticulture",international,non-trivial,recent,Lophophorus lhuysii
435,Food - human,,non-trivial,recent,Tragopan melanocephalus
436,Other household goods,,non-trivial,recent,Tragopan melanocephalus
437,"Pets/display animals, horticulture",international,non-trivial,recent,Tragopan melanocephalus
438,NA,NA,NA,NA,Tragopan satyra
439,Food - human,,non-trivial,recent,Tragopan blythii
440,"Pets/display animals, horticulture",international,non-trivial,recent,Tragopan blythii
441,NA,NA,NA,NA,Tragopan temminckii
442,Food - human,,non-trivial,recent,Tragopan caboti
443,"Pets/display animals, horticulture",international,non-trivial,recent,Tragopan caboti
444,NA,NA,NA,NA,Ithaginis cruentus
445,NA,NA,NA,NA,Pucrasia macrolopha
446,Food - human,NA,non-trivial,recent,Syrmaticus ellioti
447,Food - human,international,non-trivial,recent,Syrmaticus humiae
448,"Pets/display animals, horticulture",international,non-trivial,recent,Syrmaticus humiae
449,Food - human,NA,non-trivial,recent,Syrmaticus mikado
450,NA,NA,NA,NA,Syrmaticus soemmerringii
451,Food - human,,non-trivial,recent,Syrmaticus reevesii
452,"Handicrafts, jewellery, etc.",,non-trivial,recent,Syrmaticus reevesii
453,"Pets/display animals, horticulture",international,non-trivial,recent,Syrmaticus reevesii
454,Food - human,NA,non-trivial,recent,Chrysolophus pictus
455,"Pets/display animals, horticulture",NA,non-trivial,recent,Chrysolophus pictus
456,Food - human,,non-trivial,recent,Chrysolophus amherstiae
457,"Pets/display animals, horticulture",international,non-trivial,recent,Chrysolophus amherstiae
458,Food - human,,non-trivial,recent,Phasianus colchicus
459,"Pets/display animals, horticulture",international,non-trivial,recent,Phasianus colchicus
460,Sport hunting/specimen collecting,,non-trivial,recent,Phasianus colchicus
461,Food - human,NA,non-trivial,recent,Phasianus versicolor
462,"Pets/display animals, horticulture",NA,non-trivial,recent,Phasianus versicolor
463,Sport hunting/specimen collecting,NA,non-trivial,recent,Phasianus versicolor
464,NA,NA,NA,NA,Crossoptilon crossoptilon
465,Food - human,NA,non-trivial,recent,Crossoptilon harmani
