"","scientificName","code","title","timing","scope","severity","score","invasive"
"14332","Agapornis lilianae","7.2","Dams & water management/use","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA
"14333","Agapornis lilianae","7.2.11","Dams (size unknown)","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA
"14334","Ara ararauna",NA,NA,NA,NA,NA,NA,NA
"14335","Aratinga nenday",NA,NA,NA,NA,NA,NA,NA
"14336","Forpus passerinus",NA,NA,NA,NA,NA,NA,NA
"14337","Brotogeris versicolurus",NA,NA,NA,NA,NA,NA,NA
"14338","Amazona albifrons",NA,NA,NA,NA,NA,NA,NA
"14339","Amazona ochrocephala",NA,NA,NA,NA,NA,NA,NA
"14340","Amazona amazonica",NA,NA,NA,NA,NA,NA,NA
"14341","Apus caffer",NA,NA,NA,NA,NA,NA,NA
"14342","Chordeiles pusillus",NA,NA,NA,NA,NA,NA,NA
"14343","Columba palumbus",NA,NA,NA,NA,NA,NA,NA
"14344","Columba pallidiceps","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Rapid Declines",NA,NA
"14345","Columba pallidiceps","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14346","Columba pallidiceps","2.1.1","Shifting agriculture","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14347","Columba pallidiceps","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Rapid Declines",NA,NA
"14348","Columba pallidiceps","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"14349","Columba pallidiceps","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"14350","Columba pallidiceps","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"14351","Columba pallidiceps","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"14352","Chalcophaps stephani",NA,NA,NA,NA,NA,NA,NA
"14353","Henicophaps foersteri","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14354","Henicophaps foersteri","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
"14355","Henicophaps foersteri","2.1.1","Shifting agriculture","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14356","Henicophaps foersteri","2.1.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Very Rapid Declines","Medium Impact: 7",NA
"14357","Henicophaps foersteri","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14358","Henicophaps foersteri","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14359","Henicophaps foersteri","8.1","Invasive non-native/alien species/diseases (Canis familiaris)","Ongoing","Majority (50-90%)","Unknown","Unknown","Canis familiaris"
"14360","Henicophaps foersteri","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Felis catus"
"14361","Henicophaps foersteri","8.1.2","Named species (Canis familiaris)","Ongoing","Majority (50-90%)","Unknown","Unknown","Canis familiaris"
"14362","Henicophaps foersteri","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Felis catus"
"14363","Ducula finschii","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Rapid Declines",NA,NA
"14364","Ducula finschii","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Rapid Declines",NA,NA
"14365","Ducula finschii","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Unknown",NA,NA
"14366","Ducula finschii","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Unknown",NA,NA
"14367","Ducula finschii","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"14368","Ducula finschii","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"14369","Goura cristata","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14370","Goura cristata","4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14371","Goura cristata","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14372","Goura cristata","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14373","Goura cristata","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14374","Goura cristata","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14375","Goura cristata","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14376","Grus vipio","11.2","Droughts","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14377","Grus vipio","1.2","Commercial & industrial areas","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14378","Grus vipio","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14379","Grus vipio","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14380","Grus vipio","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14381","Grus vipio","2.3.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14382","Grus vipio","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14383","Grus vipio","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14384","Grus vipio","6.3","Work & other activities","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14385","Grus vipio","7.1","Fire & fire suppression","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14386","Grus vipio","7.1.3","Trend Unknown/Unrecorded","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14387","Grus vipio","8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Slow, Significant Declines","Low Impact: 3",NA
"14388","Grus vipio","8.5.2","Named species","Future","Minority (<50%)","Slow, Significant Declines","Low Impact: 3",NA
"14389","Grus vipio","9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14390","Grus vipio","9.3.4","Type Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14391","Anthropoides virgo","2.1","Annual & perennial non-timber crops","Ongoing","Whole (>90%)","Negligible declines",NA,NA
"14392","Anthropoides virgo","2.1.4","Scale Unknown/Unrecorded","Ongoing","Whole (>90%)","Negligible declines",NA,NA
"14393","Anthropoides virgo","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14394","Anthropoides virgo","2.3.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14395","Anthropoides virgo","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14396","Anthropoides virgo","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14397","Anthropoides virgo","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14398","Anthropoides virgo","5.1.3","Persecution/control","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14399","Anthropoides virgo","6.3","Work & other activities","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14400","Anthropoides virgo","7.2","Dams & water management/use","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14401","Anthropoides virgo","7.2.11","Dams (size unknown)","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14402","Anthropoides virgo","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14403","Anthropoides virgo","9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14404","Anthropoides virgo","9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14405","Gallirallus australis","11.2","Droughts","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14406","Gallirallus australis","11.4","Storms & flooding","Future","Whole (>90%)","Rapid Declines","Medium Impact: 6",NA
"14407","Gallirallus australis","4.1","Roads & railroads","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14408","Gallirallus australis","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14409","Gallirallus australis","5.1.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14410","Gallirallus australis","8.1","Invasive non-native/alien species/diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14411","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Erinaceus europaeus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Erinaceus europaeus"
"14412","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Felis catus"
"14413","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Mustela erminea)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Mustela erminea"
"14414","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Mustela furo)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Mustela furo"
"14415","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Oryctolagus cuniculus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Oryctolagus cuniculus"
"14416","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Parabuteo unicinctus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Parabuteo unicinctus"
"14417","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Rattus exulans)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Rattus exulans"
"14418","Gallirallus australis","8.1","Invasive non-native/alien species/diseases (Rattus norvegicus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Rattus norvegicus"
"14419","Gallirallus australis","8.1.1","Unspecified species","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14420","Gallirallus australis","8.1.2","Named species (Erinaceus europaeus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Erinaceus europaeus"
"14421","Gallirallus australis","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Felis catus"
"14422","Gallirallus australis","8.1.2","Named species (Mustela erminea)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Mustela erminea"
"14423","Gallirallus australis","8.1.2","Named species (Mustela furo)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Mustela furo"
"14424","Gallirallus australis","8.1.2","Named species (Oryctolagus cuniculus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Oryctolagus cuniculus"
"14425","Gallirallus australis","8.1.2","Named species (Parabuteo unicinctus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Parabuteo unicinctus"
"14426","Gallirallus australis","8.1.2","Named species (Rattus exulans)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Rattus exulans"
"14427","Gallirallus australis","8.1.2","Named species (Rattus norvegicus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Rattus norvegicus"
"14428","Hypotaenidia insignis","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14429","Hypotaenidia insignis","2.1.3","Agro-industry farming","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14430","Hypotaenidia insignis","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14431","Hypotaenidia insignis","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14432","Hypotaenidia insignis","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14433","Hypotaenidia insignis","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14434","Amaurornis isabellina",NA,NA,NA,NA,NA,NA,NA
"14435","Calidris maritima","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"14436","Calidris ptilocnemis","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"14437","Charadrius asiaticus","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14438","Charadrius asiaticus","2.1.4","Scale Unknown/Unrecorded","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14439","Charadrius asiaticus","2.3","Livestock farming & ranching","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14440","Charadrius asiaticus","2.3.4","Scale Unknown/Unrecorded","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"14441","Chlidonias albostriatus","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14442","Chlidonias albostriatus","7.2","Dams & water management/use","Future","Minority (<50%)","Very Rapid Declines","Low Impact: 5",NA
"14443","Chlidonias albostriatus","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14444","Chlidonias albostriatus","7.2.11","Dams (size unknown)","Future","Minority (<50%)","Very Rapid Declines","Low Impact: 5",NA
"14445","Chlidonias albostriatus","7.2.3","Abstraction of surface water (agricultural use)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14446","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Canis familiaris)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Canis familiaris"
"14447","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Cytisus scoparius)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Cytisus scoparius"
"14448","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Erinaceus europaeus)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Erinaceus europaeus"
"14449","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8","Felis catus"
"14450","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Gymnorhina tibicen)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Gymnorhina tibicen"
"14451","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Mustela erminea)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Mustela erminea"
"14452","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Mustela furo)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Mustela furo"
"14453","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Rattus norvegicus)","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8","Rattus norvegicus"
"14454","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus rattus"
"14455","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Trichosurus vulpecula)","Ongoing","Unknown","Unknown","Unknown","Trichosurus vulpecula"
"14456","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Unspecified Lupinus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Lupinus"
"14457","Chlidonias albostriatus","8.1","Invasive non-native/alien species/diseases (Unspecified Salix)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Salix"
"14458","Chlidonias albostriatus","8.1.2","Named species (Canis familiaris)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Canis familiaris"
"14459","Chlidonias albostriatus","8.1.2","Named species (Cytisus scoparius)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Cytisus scoparius"
"14460","Chlidonias albostriatus","8.1.2","Named species (Erinaceus europaeus)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Erinaceus europaeus"
"14461","Chlidonias albostriatus","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8","Felis catus"
"14462","Chlidonias albostriatus","8.1.2","Named species (Gymnorhina tibicen)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Gymnorhina tibicen"
"14463","Chlidonias albostriatus","8.1.2","Named species (Mustela erminea)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Mustela erminea"
"14464","Chlidonias albostriatus","8.1.2","Named species (Mustela furo)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7","Mustela furo"
"14465","Chlidonias albostriatus","8.1.2","Named species (Rattus norvegicus)","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8","Rattus norvegicus"
"14466","Chlidonias albostriatus","8.1.2","Named species (Rattus rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus rattus"
"14467","Chlidonias albostriatus","8.1.2","Named species (Trichosurus vulpecula)","Ongoing","Unknown","Unknown","Unknown","Trichosurus vulpecula"
"14468","Chlidonias albostriatus","8.1.2","Named species (Unspecified Lupinus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Lupinus"
"14469","Chlidonias albostriatus","8.1.2","Named species (Unspecified Salix)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Salix"
"14470","Chlidonias albostriatus","8.2","Problematic native species/diseases (Circus approximans)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Circus approximans"
"14471","Chlidonias albostriatus","8.2","Problematic native species/diseases (Haematopus finschi)","Ongoing","Unknown","Unknown","Unknown","Haematopus finschi"
"14472","Chlidonias albostriatus","8.2","Problematic native species/diseases (Larus dominicanus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Larus dominicanus"
"14473","Chlidonias albostriatus","8.2.2","Named species (Circus approximans)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Circus approximans"
"14474","Chlidonias albostriatus","8.2.2","Named species (Haematopus finschi)","Ongoing","Unknown","Unknown","Unknown","Haematopus finschi"
"14475","Chlidonias albostriatus","8.2.2","Named species (Larus dominicanus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Larus dominicanus"
"14476","Alle alle","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA
"14477","Alle alle","11.3","Temperature extremes","Future","Whole (>90%)","Unknown","Unknown",NA
"14478","Alle alle","3.1","Oil & gas drilling","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"14479","Alle alle","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14480","Alle alle","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14481","Alle alle","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14482","Alle alle","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14483","Alle alle","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14484","Alle alle","9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14485","Cerorhinca monocerata","11.1","Habitat shifting & alteration","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14486","Cerorhinca monocerata","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14487","Cerorhinca monocerata","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14488","Cerorhinca monocerata","8.1","Invasive non-native/alien species/diseases (Procyon lotor)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Procyon lotor"
"14489","Cerorhinca monocerata","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Rattus"
"14490","Cerorhinca monocerata","8.1","Invasive non-native/alien species/diseases (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus"
"14491","Cerorhinca monocerata","8.1.2","Named species (Procyon lotor)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Procyon lotor"
"14492","Cerorhinca monocerata","8.1.2","Named species (Unspecified Rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Rattus"
"14493","Cerorhinca monocerata","8.1.2","Named species (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus"
"14494","Cerorhinca monocerata","9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"14495","Cerorhinca monocerata","9.2.1","Oil spills","Ongoing","Minority (<50%)","Unknown","Unknown",NA
"14496","Henicopernis infuscatus","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14497","Henicopernis infuscatus","2.1","Annual & perennial non-timber crops","Past, Likely to Return","Minority (<50%)","Very Rapid Declines","Past Impact",NA
"14498","Henicopernis infuscatus","2.1.1","Shifting agriculture","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14499","Henicopernis infuscatus","2.1.3","Agro-industry farming","Past, Likely to Return","Minority (<50%)","Very Rapid Declines","Past Impact",NA
"14500","Henicopernis infuscatus","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14501","Henicopernis infuscatus","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"14502","Henicopernis infuscatus","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14503","Henicopernis infuscatus","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14504","Henicopernis infuscatus","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14505","Accipiter luteoschistaceus","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14506","Accipiter luteoschistaceus","2.1.1","Shifting agriculture","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14507","Accipiter luteoschistaceus","2.1.4","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14508","Accipiter luteoschistaceus","3.2","Mining & quarrying","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14509","Accipiter luteoschistaceus","5.3","Logging & wood harvesting","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14510","Accipiter luteoschistaceus","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"14511","Accipiter luteoschistaceus","8.2","Problematic native species/diseases","Ongoing","Majority (50-90%)","Unknown","Unknown",NA
"14512","Accipiter luteoschistaceus","8.2.2","Named species","Ongoing","Majority (50-90%)","Unknown","Unknown",NA
"14513","Buteogallus aequinoctialis","1.1","Housing & urban areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14514","Buteogallus aequinoctialis","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14515","Buteogallus aequinoctialis","2.4.3","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14516","Buteogallus aequinoctialis","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14517","Buteogallus aequinoctialis","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"14518","Buteo albigula",NA,NA,NA,NA,NA,NA,NA
"14519","Falco femoralis",NA,NA,NA,NA,NA,NA,NA
"14520","Ardeola ralloides",NA,NA,NA,NA,NA,NA,NA
"14521","Cathartes aura",NA,NA,NA,NA,NA,NA,NA
"14522","Ciconia boyciana","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Rapid Declines",NA,NA
"14523","Ciconia boyciana","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Rapid Declines",NA,NA
"14524","Ciconia boyciana","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"14525","Ciconia boyciana","2.4.3","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"14526","Ciconia boyciana","4.2","Utility & service lines","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"14527","Ciconia boyciana","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"14528","Ciconia boyciana","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"14529","Ciconia boyciana","5.1.3","Persecution/control","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"14530","Ciconia boyciana","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14531","Ciconia boyciana","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14532","Ciconia boyciana","5.3.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14533","Ciconia boyciana","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14534","Ciconia boyciana","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14535","Ciconia boyciana","6.3","Work & other activities","Ongoing","Majority (50-90%)","Causing/Could cause fluctuations",NA,NA
"14536","Ciconia boyciana","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"14537","Ciconia boyciana","7.1.3","Trend Unknown/Unrecorded","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
