"","scientificName","code","title","timing","scope","severity","score","invasive"
"53","Spatula querquedula","8.1.2","Named species (Neogale vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neogale vison"
"54","Spatula querquedula","8.5","Viral/prion-induced diseases","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"55","Spatula querquedula","8.5","Viral/prion-induced diseases","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"56","Spatula querquedula","8.5.2","Named species","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA
"57","Spatula querquedula","8.5.2","Named species","Past, Likely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact",NA
"58","Mareca strepera",NA,NA,NA,NA,NA,NA,NA
"59","Columba oenas",NA,NA,NA,NA,NA,NA,NA
"60","Columba bollii","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"61","Columba bollii","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"62","Columba bollii","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"63","Columba bollii","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"64","Columba bollii","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5","Rattus rattus"
"65","Columba bollii","8.1.2","Named species (Rattus rattus)","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5","Rattus rattus"
"66","Caprimulgus europaeus",NA,NA,NA,NA,NA,NA,NA
"67","Tachymarptis melba",NA,NA,NA,NA,NA,NA,NA
"68","Apus apus",NA,NA,NA,NA,NA,NA,NA
"69","Crex crex","11.4","Storms & flooding","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"70","Crex crex","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"71","Crex crex","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA
"72","Crex crex","4.1","Roads & railroads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"73","Crex crex","5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"74","Crex crex","5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"75","Crex crex","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA
"76","Crex crex","7.3","Other ecosystem modifications","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"77","Crex crex","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"78","Crex crex","8.1","Invasive non-native/alien species/diseases (Neogale vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neogale vison"
"79","Crex crex","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Felis catus"
"80","Crex crex","8.1.2","Named species (Neogale vison)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Neogale vison"
"81","Crex crex","8.2","Problematic native species/diseases","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"82","Crex crex","8.2.1","Unspecified species","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA
"83","Porzana porzana","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Slow, Significant Declines",NA,NA
"84","Porzana porzana","7.2","Dams & water management/use","Future","Whole (>90%)","Slow, Significant Declines",NA,NA
"85","Porzana porzana","7.2.4","Abstraction of surface water (unknown use)","Future","Whole (>90%)","Slow, Significant Declines",NA,NA
"86","Zapornia parva","5.2","Gathering terrestrial plants","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"87","Zapornia parva","5.2.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"88","Zapornia parva","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"89","Zapornia parva","7.2.11","Dams (size unknown)","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"90","Zapornia parva","7.2.3","Abstraction of surface water (agricultural use)","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"91","Grus grus","1.1","Housing & urban areas","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"92","Grus grus","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"93","Grus grus","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"94","Grus grus","2.2","Wood & pulp plantations","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"95","Grus grus","2.2.2","Agro-industry plantations","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"96","Grus grus","4.1","Roads & railroads","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"97","Grus grus","4.2","Utility & service lines","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"98","Grus grus","5.1","Hunting & trapping terrestrial animals","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"99","Grus grus","5.1.1","Intentional use (species is the target)","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"100","Grus grus","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"101","Grus grus","7.2","Dams & water management/use","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"102","Grus grus","7.2.10","Large dams","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"103","Grus grus","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"104","Grus grus","7.3","Other ecosystem modifications","Ongoing","Majority (50-90%)","Negligible declines",NA,NA
"105","Grus grus","9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"106","Grus grus","9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA
"107","Ciconia ciconia",NA,NA,NA,NA,NA,NA,NA
"108","Botaurus stellaris",NA,NA,NA,NA,NA,NA,NA
"109","Egretta garzetta",NA,NA,NA,NA,NA,NA,NA
"110","Pluvialis apricaria","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"111","Pluvialis apricaria","11.5","Other impacts","Ongoing","Unknown","Unknown",NA,NA
"112","Eudromias morinellus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"113","Vanellus spinosus",NA,NA,NA,NA,NA,NA,NA
"114","Numenius phaeopus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"115","Calidris pugnax","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"116","Calidris alba","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"117","Gallinago stenura","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"118","Lymnocryptes minimus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"119","Actitis hypoleucos","6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"120","Tringa ochropus","8.5","Viral/prion-induced diseases","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA
"121","Tringa ochropus","8.5.2","Named species","Past, Likely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA
"122","Tringa erythropus","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown",NA,NA
"123","Tringa erythropus","5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"124","Tringa erythropus","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"125","Tringa erythropus","5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines",NA,NA
"126","Tringa erythropus","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"127","Tringa erythropus","7.2.11","Dams (size unknown)","Ongoing","Minority (<50%)","Negligible declines",NA,NA
"128","Tringa erythropus","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines",NA,NA
